ticker,company_name,edinet_code,jpx_industry,broad_sector,business_theme,listing_date,listing_note,business_summary,source_note
1300,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,E39268,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　ＳｉｌｉｃｏのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1301,株式会社　極洋,E00012,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社　極洋のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1332,株式会社ニッスイ,E00014,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ニッスイのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1333,Ｕｍｉｏｓ株式会社,E00015,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,Ｕｍｉｏｓ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1350,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,E39382,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＶＲＡＩＮ　ＳｏｌｕｔｉｏｎのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1370,Ｃｏｃｏｌｉｖｅ株式会社,E39349,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,Ｃｏｃｏｌｉｖｅ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1375,ユキグニファクトリー株式会社,E00007,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ユキグニファクトリー株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1376,カネコ種苗株式会社,E00004,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,カネコ種苗株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1377,株式会社　サカタのタネ,E00006,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社　サカタのタネのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1379,ホクト株式会社,E00008,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ホクト株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1380,株式会社秋川牧園,E00344,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社秋川牧園のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1381,株式会社アクシーズ,E00009,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社アクシーズのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1382,株式会社ホーブ,E00010,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ホーブのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1383,ベルグアース株式会社,E25969,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ベルグアース株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1384,株式会社　ホクリヨウ,E31220,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社　ホクリヨウのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1401,株式会社エムビーエス,E00323,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社エムビーエスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1407,株式会社ウエストホールディングス,E00327,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ウエストホールディングスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1410,株式会社トライアルホールディングス,E38525,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社トライアルホールディングスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1414,ショーボンドホールディングス株式会社,E00329,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ショーボンドホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1417,株式会社ミライト・ワン,E24558,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ミライト・ワンのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1418,インターライフホールディングス株式会社,E24512,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,インターライフホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1419,タマホーム株式会社,E27305,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,タマホーム株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1420,サンヨーホームズ株式会社,E27273,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,サンヨーホームズ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1429,株式会社日本アクア,E30126,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社日本アクアのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1430,ファーストコーポレーション株式会社,E31306,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ファーストコーポレーション株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,E31614,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社Ｌｉｂ　ＷｏｒｋのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1433,ベステラ株式会社,E31731,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ベステラ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1434,ＪＥＳＣＯホールディングス株式会社,E31741,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ＪＥＳＣＯホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1435,株式会社ｒｏｂｏｔ　ｈｏｍｅ,E31925,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ｒｏｂｏｔ　ｈｏｍｅのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1436,株式会社グリーンエナジー＆カンパニー,E32163,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社グリーンエナジー＆カンパニーのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1438,株式会社岐阜造園,E32682,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社岐阜造園のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1439,株式会社安江工務店,E32906,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社安江工務店のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1443,技研ホールディングス株式会社,E33535,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,技研ホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1444,株式会社ニッソウ,E33910,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ニッソウのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1446,株式会社キャンディル,E34095,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社キャンディルのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1447,ＳＡＡＦホールディングス株式会社,E34165,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ＳＡＡＦホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1449,株式会社ＦＵＪＩジャパン,E34471,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＦＵＪＩジャパンのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1450,株式会社Ｌ　ｉｓ　Ｂ,E39409,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社Ｌ　ｉｓ　ＢのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1451,株式会社ＫＨＣ,E34679,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＫＨＣのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1460,コロンビア・ワークス株式会社,E39407,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,コロンビア・ワークス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1470,株式会社ソラコム,E39483,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ソラコムのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1480,株式会社ハッチ・ワーク,E39410,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ハッチ・ワークのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1490,株式会社シンカ,E39161,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社シンカのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1491,中外鉱業株式会社,E00027,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,中外鉱業株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1500,株式会社ＪＳＨ,E39184,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＪＳＨのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1510,株式会社ダイブ,E39476,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ダイブのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1514,住石ホールディングス株式会社,E21342,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,住石ホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1515,日鉄鉱業株式会社,E00036,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,日鉄鉱業株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1518,三井松島ホールディングス株式会社,E00037,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,三井松島ホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1530,株式会社カウリス,E39397,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社カウリスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1550,株式会社情報戦略テクノロジー,E39405,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社情報戦略テクノロジーのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1560,マテリアルグループ株式会社,E39473,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,マテリアルグループ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1570,グリーンモンスター株式会社,E39408,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,グリーンモンスター株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1600,株式会社アズパートナーズ,E39448,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社アズパートナーズのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1605,株式会社ＩＮＰＥＸ,E00043,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＩＮＰＥＸのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1650,ＳＢＩレオスひふみ株式会社,E39170,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,ＳＢＩレオスひふみ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1660,株式会社タスキホールディングス,E39259,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社タスキホールディングスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1662,石油資源開発株式会社,E00041,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,石油資源開発株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1663,Ｋ＆Ｏエナジーグループ株式会社,E30048,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,Ｋ＆Ｏエナジーグループ株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1670,リョーサン菱洋ホールディングス株式会社,E39254,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,リョーサン菱洋ホールディングス株式会社のEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1680,株式会社イタミアート,E39273,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社イタミアートのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1711,株式会社ＳＤＳホールディングス,E05452,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ＳＤＳホールディングスのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
1712,株式会社ダイセキ環境ソリューション,E05444,未分類,EDINET提出企業,EDINET提出企業,,EDINET書類一覧から追加。上場日やJPX業種は別途確認してください。,株式会社ダイセキ環境ソリューションのEDINET提出書類から追加した企業候補です。,EDINET documents API cache
